gpa,attendance_rate,failed_credits,assignment_completion_rate,risk_level
3.32,69.1,5,81.8,Low Risk
1.28,98.7,11,85.7,High Risk
3.36,52.0,10,62.2,Medium Risk
3.78,80.4,5,89.4,Low Risk
2.33,57.5,1,43.8,Medium Risk
3.48,79.7,7,85.5,Low Risk
2.06,98.4,5,86.7,Low Risk
1.58,70.7,11,42.6,High Risk
1.46,82.6,11,98.1,High Risk
1.98,65.4,9,68.2,High Risk
1.57,52.1,8,53.6,High Risk
3.01,69.0,6,90.0,Low Risk
3.1,62.2,9,88.3,Medium Risk
2.16,60.9,10,80.9,High Risk
1.42,56.0,10,87.2,High Risk
2.99,83.8,0,86.8,Low Risk
2.38,76.3,0,46.9,Low Risk
3.01,70.9,1,73.9,Low Risk
3.29,79.9,7,73.6,Low Risk
1.91,46.7,7,66.2,High Risk
1.64,67.5,12,54.0,High Risk
1.17,60.5,11,57.6,High Risk
2.99,75.6,6,79.9,Low Risk
2.22,89.8,10,50.0,High Risk
1.07,50.0,10,67.7,High Risk
1.48,72.6,9,49.1,High Risk
3.09,69.5,2,58.1,Low Risk
2.89,64.9,4,45.3,Medium Risk
1.35,97.9,4,82.0,Medium Risk
1.8,98.3,11,86.7,Medium Risk
3.15,69.7,9,45.8,Medium Risk
3.71,70.1,3,52.1,Low Risk
1.92,76.9,7,91.4,Medium Risk
3.28,84.6,2,65.9,Low Risk
2.88,77.1,1,45.1,Low Risk
2.25,47.3,8,69.6,High Risk
1.99,52.9,8,75.3,High Risk
1.51,95.9,1,74.9,Low Risk
2.04,77.5,3,97.5,Low Risk
2.45,88.1,0,45.0,Low Risk
2.46,72.0,5,74.3,Medium Risk
2.42,59.7,12,59.9,High Risk
2.56,69.1,3,89.6,Low Risk
3.69,52.7,0,73.2,Low Risk
1.33,82.0,1,79.6,Medium Risk
3.18,87.3,3,46.5,Low Risk
3.75,57.7,3,73.3,Low Risk
2.11,90.6,0,88.5,Low Risk
1.95,97.4,8,70.9,Medium Risk
1.77,96.5,3,49.9,Medium Risk
1.13,68.9,12,93.5,High Risk
3.25,94.0,12,93.6,Low Risk
2.56,62.4,0,79.7,Low Risk
2.12,50.2,10,84.8,High Risk
1.79,96.5,12,47.4,High Risk
3.49,53.4,3,50.8,Low Risk
2.8,93.1,0,58.6,Low Risk
3.33,98.5,2,70.0,Low Risk
1.43,45.8,2,47.9,High Risk
3.03,51.7,2,70.4,Low Risk
3.08,77.0,5,88.2,Low Risk
3.15,85.6,2,47.9,Low Risk
1.37,96.0,1,58.1,Medium Risk
2.47,81.5,5,97.3,Low Risk
1.86,95.9,6,73.3,Medium Risk
2.9,50.8,0,48.4,Low Risk
2.26,98.1,2,96.0,Low Risk
3.41,70.7,7,87.1,Low Risk
1.05,51.0,3,87.8,High Risk
1.7,74.2,10,76.4,High Risk
3.6,78.2,3,62.5,Low Risk
2.28,80.9,5,92.0,Low Risk
2.36,58.6,3,84.8,Medium Risk
3.45,50.8,3,44.0,Low Risk
2.78,53.0,2,58.6,Medium Risk
1.43,95.7,10,49.9,High Risk
1.85,53.4,5,41.3,High Risk
1.17,54.6,1,43.2,High Risk
2.77,82.4,10,59.1,Medium Risk
2.51,93.1,5,91.1,Low Risk
1.13,55.0,11,55.0,High Risk
2.71,67.9,3,43.0,Medium Risk
2.12,73.8,11,90.0,High Risk
1.16,95.9,1,45.9,Medium Risk
3.53,94.6,3,88.1,Low Risk
3.34,80.3,12,86.7,Low Risk
1.4,74.5,4,91.5,Medium Risk
2.39,66.2,6,78.4,Medium Risk
1.8,52.7,5,65.0,High Risk
1.7,65.2,6,62.0,High Risk
1.98,65.9,2,57.8,Medium Risk
3.85,95.4,8,68.9,Low Risk
1.99,74.4,12,79.2,High Risk
3.41,74.3,11,78.0,Medium Risk
1.86,85.4,0,81.7,Low Risk
3.58,52.3,2,76.9,Low Risk
1.29,84.9,7,96.2,Medium Risk
1.41,97.7,1,88.1,Low Risk
2.78,88.0,12,96.8,Medium Risk
1.76,77.5,10,45.7,High Risk
2.85,54.4,1,74.3,Low Risk
2.4,73.7,7,85.8,Medium Risk
3.4,72.1,3,95.9,Low Risk
1.36,51.4,7,45.3,High Risk
2.97,68.0,11,80.3,Medium Risk
2.0,94.4,10,85.8,Medium Risk
1.81,65.0,6,49.5,High Risk
1.44,96.5,4,66.3,Medium Risk
2.15,85.1,2,96.2,Low Risk
3.34,71.4,7,62.6,Low Risk
3.96,84.5,11,47.1,Low Risk
3.55,80.0,12,47.3,Medium Risk
2.76,82.7,7,67.3,Medium Risk
3.48,61.2,0,67.5,Low Risk
2.33,61.6,6,86.9,Medium Risk
1.33,99.8,11,92.8,High Risk
1.85,91.0,0,99.9,Low Risk
3.0,80.8,1,45.4,Low Risk
3.69,46.6,3,48.6,Low Risk
3.33,55.9,3,94.6,Low Risk
2.97,47.0,0,43.1,Medium Risk
2.82,89.1,0,54.3,Low Risk
3.55,48.1,8,95.7,Low Risk
3.32,83.4,10,90.3,Low Risk
1.12,56.1,1,70.3,High Risk
3.24,79.7,1,91.1,Low Risk
1.47,85.4,0,56.2,Medium Risk
3.13,98.9,2,76.7,Low Risk
1.16,78.9,0,93.0,Medium Risk
3.13,54.5,0,45.5,Low Risk
1.55,98.9,7,87.0,Medium Risk
2.91,76.5,5,48.7,Medium Risk
3.84,61.6,5,82.0,Low Risk
2.95,96.7,7,48.9,Low Risk
2.53,67.2,11,47.2,High Risk
1.4,60.3,6,58.3,High Risk
2.28,78.6,5,64.7,Medium Risk
2.23,57.0,8,75.3,High Risk
1.95,47.0,3,68.4,High Risk
1.68,76.5,5,73.9,Medium Risk
3.11,80.6,7,59.0,Low Risk
3.36,75.2,8,65.9,Low Risk
2.88,64.8,12,84.2,Medium Risk
3.66,95.7,6,70.2,Low Risk
2.56,89.0,3,90.2,Low Risk
2.48,51.4,4,44.3,High Risk
3.53,48.1,1,60.0,Low Risk
1.52,62.3,3,84.6,Medium Risk
1.04,90.5,9,62.3,High Risk
1.46,78.0,11,47.2,High Risk
2.09,97.7,0,86.3,Low Risk
1.93,82.8,12,82.3,High Risk
2.16,80.2,4,52.5,Medium Risk
2.58,54.0,0,50.0,Medium Risk
3.51,99.4,12,90.3,Low Risk
3.97,52.8,7,66.9,Low Risk
2.18,49.4,10,66.0,High Risk
2.41,53.3,9,50.9,High Risk
3.72,47.5,8,57.5,Medium Risk
2.47,77.3,3,69.6,Low Risk
1.25,58.4,10,78.3,High Risk
2.95,81.9,10,85.8,Medium Risk
1.17,65.2,9,60.3,High Risk
3.53,71.5,7,86.1,Low Risk
3.56,72.8,5,75.2,Low Risk
3.55,63.7,11,69.9,Medium Risk
2.59,50.8,0,95.0,Low Risk
2.89,54.8,5,60.3,Medium Risk
1.57,46.4,7,66.9,High Risk
1.92,77.9,12,40.4,High Risk
1.83,83.7,6,98.9,Medium Risk
2.86,71.3,8,85.7,Medium Risk
3.71,84.6,3,86.9,Low Risk
3.6,51.3,12,83.9,Medium Risk
2.32,75.4,12,98.2,Medium Risk
3.95,60.9,8,84.0,Low Risk
3.25,64.1,0,42.5,Low Risk
3.33,71.9,1,99.1,Low Risk
2.39,98.8,3,87.6,Low Risk
1.25,75.6,5,88.1,High Risk
3.77,90.2,3,62.4,Low Risk
1.15,51.0,0,80.5,High Risk
3.14,87.6,0,84.4,Low Risk
3.4,47.7,11,54.1,High Risk
2.87,92.2,5,70.9,Low Risk
3.03,46.6,0,64.1,Low Risk
3.69,81.9,3,91.2,Low Risk
2.04,91.9,3,57.9,Medium Risk
2.77,66.8,1,93.2,Low Risk
1.56,49.7,3,60.5,High Risk
3.15,89.4,6,57.8,Low Risk
2.22,52.5,12,74.5,High Risk
3.99,83.5,9,63.5,Low Risk
3.75,72.3,7,48.1,Low Risk
2.1,48.7,4,41.1,High Risk
2.36,79.9,2,60.6,Low Risk
2.26,97.8,12,72.5,Medium Risk
1.85,94.3,9,54.1,High Risk
1.98,95.0,3,84.5,Low Risk
2.77,80.9,6,58.0,Medium Risk
1.72,62.7,2,92.5,Medium Risk
1.85,75.9,2,87.5,Low Risk
3.35,69.1,11,99.7,Low Risk
3.02,89.8,6,94.2,Low Risk
3.36,55.2,2,46.1,Low Risk
2.96,97.5,7,70.8,Low Risk
2.3,47.0,12,46.2,High Risk
1.12,58.5,12,43.9,High Risk
2.37,73.4,10,43.1,High Risk
1.33,66.1,4,43.6,High Risk
3.09,56.4,12,63.6,High Risk
2.25,45.1,3,46.7,High Risk
3.59,45.1,1,69.4,Low Risk
2.0,68.7,6,86.8,Medium Risk
3.52,59.3,2,54.5,Low Risk
2.44,82.6,4,53.7,Medium Risk
1.99,96.2,6,67.6,Medium Risk
3.13,53.3,0,42.8,Low Risk
1.41,95.5,1,51.3,Medium Risk
1.09,51.1,0,77.2,High Risk
1.72,76.3,2,91.0,Low Risk
1.01,91.9,7,77.1,High Risk
1.49,87.5,12,55.3,High Risk
3.76,70.0,11,76.2,Low Risk
3.95,64.9,9,59.1,Low Risk
3.4,78.0,10,53.0,Medium Risk
2.24,62.5,10,41.8,High Risk
2.04,46.0,1,49.9,High Risk
3.18,83.9,3,59.0,Low Risk
3.67,77.7,9,47.6,Medium Risk
1.43,83.1,0,70.4,Medium Risk
3.98,45.2,2,41.0,Low Risk
3.98,77.2,5,93.8,Low Risk
3.64,74.5,1,77.3,Low Risk
1.82,47.8,5,57.7,High Risk
2.99,91.0,7,41.1,Medium Risk
2.79,57.7,11,55.2,High Risk
2.83,75.4,11,63.8,Medium Risk
3.03,84.9,9,85.5,Low Risk
3.95,68.1,7,70.9,Low Risk
1.04,88.8,4,64.5,High Risk
1.28,93.9,6,63.7,High Risk
3.05,53.2,4,50.7,Medium Risk
1.6,92.2,12,94.8,High Risk
1.64,70.8,11,92.7,High Risk
2.14,73.4,9,84.5,Medium Risk
3.19,88.1,12,46.3,Medium Risk
3.71,92.6,7,87.9,Low Risk
1.3,56.2,5,41.4,High Risk
3.94,65.7,9,83.2,Low Risk
3.66,66.7,8,76.5,Low Risk
2.74,67.5,4,76.1,Low Risk
3.81,70.7,0,62.6,Low Risk
2.18,52.2,2,49.8,Medium Risk
3.05,63.7,0,54.6,Low Risk
1.3,86.4,12,92.9,High Risk
1.83,56.1,12,71.3,High Risk
2.41,59.3,2,42.7,Medium Risk
2.44,97.8,3,69.7,Low Risk
1.33,58.9,8,57.7,High Risk
3.29,93.2,10,99.1,Low Risk
3.95,97.4,11,44.3,Low Risk
1.41,61.7,2,45.8,High Risk
